"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT13","WT14","WT16","WT17","WT18","WT21","WT22"
"USW00013722","RALEIGH AIRPORT, NC US","2011-01-31","9.40"," 0827"," 0824","0.00",,"0.0","0.0",,"47","35",,"   50","   40","19.9","23.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-01","4.47"," 2350"," 2348","0.00",,"0.0","0.0",,"53","34",,"  160","  160","8.9","14.1","    1",,,,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-02","14.32"," 1102"," 1102","0.18",,"0.0","0.0",,"68","44",,"  230","  230","31.1","40.9","    1",,,,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-03","5.14"," 0955"," 0913","0.00",,"0.0","0.0",,"44","32",,"  360","   10","12.1","17.9",,,,"    1",,,,,,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-04","3.13"," 2159"," 1927","0.45",,"0.0","0.0",,"37","33",,"   80","   70","8.9","13.0","    1",,,"    1",,,,"    1","    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-05","8.05"," 1606"," 1606","0.92",,"0.0","0.0",,"49","35",,"  230","  230","21.0","25.9","    1","    1",,,,,,"    1","    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-06","2.01"," 1717"," 1344","0.00",,"0.0","0.0",,"54","30",,"  240","  220","8.9","13.0","    1",,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-07","3.80"," 1711"," 1710","0.00",,"0.0","0.0",,"58","30",,"  160","  160","14.1","17.0","    1",,,,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-08","8.05"," 1308"," 1239","0.00",,"0.0","0.0",,"50","30",,"  290","  290","16.1","28.0","    1",,,,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-09","4.47"," 1156"," 1321","0.00",,"0.0","0.0",,"48","24",,"  170","  240","12.1","17.0",,,,"    1",,,,,,,,"    1",,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-10","4.25"," 1204"," 0942","0.03",,"0.4","0.0",,"46","26",,"   30","  330","14.1","19.9","    1",,,"    1",,,,"    1",,,,"    1",,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-11","1.12"," 1529"," 1352","0.00",,"0.0","0.0",,"51","21",,"  330","  320","6.9","10.1","    1",,,,,,"    1","    1",,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-12","5.14"," 1343"," 1154","0.00",,"0.0","0.0",,"57","24",,"  270","  320","17.9","32.0",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-13","6.93"," 1655"," 1353","0.00",,"0.0","0.0",,"61","25",,"  230","  220","17.9","23.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-14","11.41"," 1345"," 1719","0.00",,"0.0","0.0",,"72","38",,"  230","  300","29.1","36.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-15","4.25"," 1147"," 1400","0.00",,"0.0","0.0",,"57","32",,"   40","   40","14.1","17.0",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-16","5.37"," 1347"," 1350","0.00",,"0.0","0.0",,"63","34",,"  230","  230","17.9","21.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-17","7.61"," 1638"," 1637","0.00",,"0.0","0.0",,"71","40",,"  210","  220","17.9","25.1","    1",,,,,,,"    1",,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-18","10.74"," 1425"," 1538","0.00",,"0.0","0.0",,"78","52",,"  230","  280","17.9","23.0","    1",,,,,,"    1","    1",,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-19","8.72"," 1531"," 1553","0.00",,"0.0","0.0",,"68","48",,"  310","  320","23.0","38.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-20","4.92"," 2334"," 2217","0.00",,"0.0","0.0",,"62","31",,"  210","  200","17.0","21.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-21","13.20"," 0929"," 1047","0.00",,"0.0","0.0",,"76","44",,"  220","  240","23.0","29.1",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-22","9.17"," 0307"," 0353","0.00",,"0.0","0.0",,"65","33",,"   20","   20","21.9","32.0",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-23","3.36"," 1318"," 1317","0.00",,"0.0","0.0",,"53","29",,"   50","   50","8.9","13.0",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-24","4.70"," 2355"," 2348","0.02",,"0.0","0.0",,"59","37",,"  190","  180","16.1","23.0","    1",,,,,,,,,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-25","16.33"," 1224"," 1210","0.05",,"0.0","0.0",,"74","41",,"  230","  240","32.0","40.9","    1",,,,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-26","5.82"," 0836"," 0842","0.00",,"0.0","0.0",,"61","33",,"   90","  110","14.1","19.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-27","8.28"," 1250"," 1250","0.00",,"0.0","0.0",,"81","44",,"  230","  230","19.9","23.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-02-28","14.32"," 1335"," 1335","0.62",,"0.0","0.0",,"81","57",,"  230","  230","32.0","38.9","    1",,"    1",,,,,,"    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-01","9.17"," 0232"," 0231","0.00",,"0.0","0.0",,"57","40",,"   40","   40","23.9","34.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-02","4.47"," 1212"," 1211","0.00",,"0.0","0.0",,"66","30",,"  230","  230","16.1","25.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-03","10.74"," 0859"," 0819","0.00",,"0.0","0.0",,"53","35",,"   70","   80","21.0","29.1",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-04","5.82"," 2352"," 2356","0.00",,"0.0","0.0",,"61","27",,"  110","  110","19.9","23.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-05","8.50"," 1954"," 1950","0.00",,"0.0","0.0",,"69","43",,"  160","  150","17.9","25.1",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-06","10.51"," 1645"," 1635","0.67",,"0.0","0.0",,"65","39",,"  310","  320","21.0","36.0","    1",,"    1",,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-07","5.82"," 1215"," 1214","0.00",,"0.0","0.0",,"54","34",,"   50","   60","16.1","21.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-08","6.26"," 2221"," 1546","0.00",,"0.0","0.0",,"58","28",,"  100","  120","14.1","21.0",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-09","8.72"," 1544"," 1607","0.23",,"0.0","0.0",,"61","39",,"  130","  120","17.9","23.0","    1",,,,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-10","9.84"," 1552"," 1552","0.47",,"0.0","0.0",,"68","42",,"  240","  250","32.0","45.0","    1",,"    1",,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-11","6.04"," 1624"," 1425","0.00",,"0.0","0.0",,"51","36",,"  290","  270","16.1","23.0",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-12","10.07"," 1644"," 1609","0.00",,"0.0","0.0",,"69","31",,"  220","  230","23.0","31.1",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-13","5.82"," 1339"," 1149","0.00",,"0.0","0.0",,"77","45",,"  280","  240","15.0","21.0",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-14","9.17"," 0025"," 0920","0.00",,"0.0","0.0",,"58","43",,"   50","   40","19.9","23.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-15","8.05"," 1335"," 1235","0.10",,"0.0","0.0",,"56","42",,"   90","   80","16.1","21.0","    1",,,,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-16","2.91"," 1519"," 1449","0.05",,"0.0","0.0",,"64","47",,"  270","  300","10.1","14.1","    1",,,,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-17","2.91"," 1636"," 1615","0.00",,"0.0","0.0",,"70","37",,"  180","  220","8.9","12.1",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-18","8.50"," 1353"," 1250","0.00",,"0.0","0.0",,"85","46",,"  240","  230","17.9","25.1",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-19","5.82"," 1022"," 0850","0.00",,"0.0","0.0",,"75","56",,"   40","   50","17.9","25.1",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-20","6.04"," 0911"," 0902","0.00",,"0.0","0.0",,"60","42",,"   90","  100","15.0","19.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-21","12.75"," 1209"," 1228","0.00",,"0.0","0.0",,"75","52",,"  240","  240","28.0","36.0",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-22","6.71"," 1233"," 1312","0.00",,"0.0","0.0",,"85","54",,"  270","  290","16.1","21.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-23","6.71"," 1819"," 1605","0.45",,"0.0","0.0",,"83","50",,"  230","  220","25.9","36.0","    1",,"    1",,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-24","7.83"," 1039"," 0941","0.04",,"0.0","0.0",,"68","50",,"  300","  300","17.0","30.0",,,,,,,,,,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-25","3.58"," 0026"," 0019","0.00",,"0.0","0.0",,"57","42",,"  360","   30","12.1","17.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-26","8.05"," 1831"," 0722","0.34",,"0.0","0.0",,"50","39",,"   60","   40","14.1","19.9","    1",,,,,,"    1","    1","    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-27","6.93"," 0630"," 0629","0.07",,"0.0","0.0",,"40","35",,"   50","   50","17.0","21.9","    1",,,,,,,"    1","    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-28","2.46"," 1003"," 0913","0.02",,"0.0","0.0",,"49","31",,"   40","   50","13.0","17.0","    1",,,"    1",,,,"    1","    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-29","1.34"," 1312"," 1310","0.00",,"0.0","0.0",,"62","29",,"  230","  260","10.1","14.1","    1",,,,,,,"    1",,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-30","7.83"," 1357"," 1357","1.05",,"0.0","0.0",,"48","40",,"  100","  100","21.9","29.1","    1","    1",,,,,,"    1","    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-03-31","3.58"," 1357"," 0016","0.03",,"0.0","0.0",,"48","40",,"  120","   10","10.1","13.0","    1",,,,,,,"    1","    1","    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-01","6.26"," 1456"," 1522","0.00",,"0.0","0.0",,"55","38",,"  280","  290","17.9","30.0","    1",,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-02","8.95"," 1420"," 1450","0.00",,"0.0","0.0",,"65","37",,"  270","  280","28.0","42.9",,,,,,,,,,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-03","5.37"," 2354"," 2253","0.00",,"0.0","0.0",,"71","33",,"  210","  210","17.9","25.1",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-04","18.57"," 1421"," 1929","0.00",,"0.0","0.0",,"85","56",,"  230","  200","31.1","38.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-05","13.20"," 0250"," 0250","0.50",,"0.0","0.0",,"71","47",,"  250","  260","38.0","51.0","    1",,,,,,"    1","    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-06","7.61"," 1458"," 1457","0.00",,"0.0","0.0",,"68","34",,"  230","  240","21.0","25.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-07","6.49"," 1323"," 0059","0.00",,"0.0","0.0",,"79","46",,"  230","  220","15.0","17.9",,,,,,,,,,,,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-08","5.14"," 2041"," 2041","0.06",,"0.0","0.0",,"82","53",,"   30","   20","21.9","32.0","    1",,"    1",,,,,"    1",,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-09","5.59"," 1907"," 1907","1.04",,"0.0","0.0",,"57","48",,"  150","  160","23.0","30.0","    1","    1","    1",,,,,,,"    1",,,,
"USW00013722","RALEIGH AIRPORT, NC US","2011-04-10","3.80"," 2342"," 2328","0.00",,"0.0","0.0",,"72","52",,"  210","  200","8.9","14.1","    1","    1",,,,,,"    1","    1",,,,,
