rank,city,state,estimate2019,census2010,change,land_area2016,land_area2016_2,population_density2016,population_density2016_2,lat,long,other
111,Rochester,New York,205695,210565,2.3099999999999996,35.8 sq mi,92.7 km2,"5,835/sq mi","2,253/km2",43.169900000000005,-77.6169,Rochester)
112,Port St. Lucie,Florida,201846,164603,22.630000000000003,118.9 sq mi,307.9 km2,"1,557/sq mi",601/km2,27.280599999999996,-80.38829999999999,Port St. Lucie)
113,Grand Rapids,Michigan,201013,188040,6.9,44.4 sq mi,115.0 km2,"4,424/sq mi","1,708/km2",42.9612,-85.65559999999999,Grand Rapids)
114,Huntsville,Alabama,200574,180105,11.370000000000001,213.4 sq mi,552.7 km2,905/sq mi,349/km2,34.699000000000005,-86.67299999999999,Huntsville)
115,Salt Lake City,Utah,200567,186440,7.58,111.2 sq mi,288.0 km2,"1,742/sq mi",673/km2,40.776900000000005,-111.93100000000001,Salt Lake City)
116,Frisco,Texas,200490,116989,71.38,67.7 sq mi,175.3 km2,"2,417/sq mi",933/km2,33.1554,-96.8226,Frisco)
117,Yonkers,New York,200370,195976,2.24,18.0 sq mi,46.6 km2,"11,156/sq mi","4,307/km2",40.9459,-73.8674,Yonkers)
118,Amarillo,Texas,199371,190695,4.55,101.4 sq mi,262.6 km2,"1,968/sq mi",760/km2,35.19990000000001,-101.8302,Amarillo)
119,Glendale,California,199303,191719,3.96,30.4 sq mi,78.7 km2,"6,606/sq mi","2,551/km2",34.1814,-118.2458,Glendale)
120,Huntington Beach,California,199223,189992,4.859999999999999,26.9 sq mi,69.7 km2,"7,459/sq mi","2,880/km2",33.6906,-118.0093,Huntington Beach)
121,McKinney,Texas,199177,131117,51.91,63.0 sq mi,163.2 km2,"2,735/sq mi","1,056/km2",33.19850000000001,-96.66799999999999,McKinney)
122,Montgomery,Alabama,198525,205764,3.52,159.8 sq mi,413.9 km2,"1,252/sq mi",483/km2,32.347199999999994,-86.26610000000001,Montgomery)
123,Augusta[t],Georgia,197888,195844,1.04,302.5 sq mi,783.5 km2,652/sq mi,252/km2,33.365500000000004,-82.07339999999999,Augusta)
124,Aurora,Illinois,197757,197899,0.07,44.9 sq mi,116.3 km2,"4,479/sq mi","1,729/km2",41.76350000000001,-88.29010000000001,Aurora)
125,Akron,Ohio,197597,199110,0.76,62.0 sq mi,160.6 km2,"3,188/sq mi","1,231/km2",41.0805,-81.5214,Akron)
126,Little Rock,Arkansas,197312,193524,1.96,118.7 sq mi,307.4 km2,"1,673/sq mi",646/km2,34.72540000000001,-92.3586,Little Rock)
127,Tempe,Arizona,195805,161719,21.08,40.0 sq mi,103.6 km2,"4,562/sq mi","1,761/km2",33.3884,-111.93180000000001,Tempe)
128,Columbus[u],Georgia,195769,189885,3.1,216.4 sq mi,560.5 km2,913/sq mi,353/km2,32.5102,-84.8749,Columbus)
129,Overland Park,Kansas,195494,173372,12.76,75.1 sq mi,194.5 km2,"2,516/sq mi",971/km2,38.888999999999996,-94.6906,Overland Park)
130,Grand Prairie,Texas,194543,175396,10.92,72.3 sq mi,187.3 km2,"2,637/sq mi","1,018/km2",32.6869,-97.0211,Grand Prairie)
131,Tallahassee,Florida,194500,181376,7.24,100.4 sq mi,260.0 km2,"1,901/sq mi",734/km2,30.455099999999998,-84.2534,Tallahassee)
132,Cape Coral,Florida,194495,154305,26.05,105.6 sq mi,273.5 km2,"1,703/sq mi",658/km2,26.6432,-81.99740000000001,Cape Coral)
133,Mobile,Alabama,188720,195111,3.2800000000000002,139.4 sq mi,361.0 km2,"1,384/sq mi",534/km2,30.6684,-88.1002,Mobile)
134,Knoxville,Tennessee,187603,178874,4.88,98.5 sq mi,255.1 km2,"1,891/sq mi",730/km2,35.9707,-83.94930000000001,Knoxville)
135,Shreveport,Louisiana,187112,199311,6.119999999999999,107.1 sq mi,277.4 km2,"1,820/sq mi",700/km2,32.4669,-93.79220000000001,Shreveport)
136,Worcester,Massachusetts,185428,181045,2.42,37.4 sq mi,96.9 km2,"4,933/sq mi","1,905/km2",42.26950000000001,-71.8078,Worcester)
137,Ontario,California,185010,163924,12.860000000000001,49.9 sq mi,129.2 km2,"3,471/sq mi","1,340/km2",34.0394,-117.6042,Ontario)
138,Vancouver,Washington,184463,161791,14.01,46.9 sq mi,121.5 km2,"3,728/sq mi","1,439/km2",45.6349,-122.5957,Vancouver)
139,Sioux Falls,South Dakota,183793,153888,19.43,75.4 sq mi,195.3 km2,"2,312/sq mi",893/km2,43.53830000000001,-96.732,Sioux Falls)
140,Chattanooga,Tennessee,182799,167674,9.02,143.1 sq mi,370.6 km2,"1,241/sq mi",479/km2,35.066,-85.2484,Chattanooga)
141,Brownsville,Texas,182781,175023,4.430000000000001,132.5 sq mi,343.2 km2,"1,387/sq mi",536/km2,25.9991,-97.455,Brownsville)
142,Fort Lauderdale,Florida,182437,165521,10.219999999999999,34.6 sq mi,89.6 km2,"5,166/sq mi","1,995/km2",26.1412,-80.1467,Fort Lauderdale)
143,Providence,Rhode Island,179883,178042,1.03,18.4 sq mi,47.7 km2,"9,740/sq mi","3,760/km2",41.823100000000004,-71.4188,Providence)
144,Newport News[m],Virginia,179225,180719,0.8300000000000001,69.1 sq mi,179.0 km2,"2,631/sq mi","1,016/km2",37.0762,-76.52199999999999,Newport News)
145,Rancho Cucamonga,California,177603,165269,7.46,40.0 sq mi,103.6 km2,"4,413/sq mi","1,704/km2",34.12330000000001,-117.56420000000001,Rancho Cucamonga)
146,Santa Rosa,California,176753,167815,5.33,41.3 sq mi,107.0 km2,"4,241/sq mi","1,637/km2",38.446799999999996,-122.7061,Santa Rosa)
147,Peoria,Arizona,175961,154065,14.209999999999999,175.7 sq mi,455.1 km2,934/sq mi,361/km2,33.7862,-112.30799999999999,Peoria)
148,Oceanside,California,175742,167086,5.18,41.3 sq mi,107.0 km2,"4,249/sq mi","1,641/km2",33.224500000000006,-117.3062,Oceanside)
149,Elk Grove,California,174775,153015,14.219999999999999,42.2 sq mi,109.3 km2,"4,022/sq mi","1,553/km2",38.41459999999999,-121.38499999999999,Elk Grove)
150,Salem,Oregon,174365,154637,12.76,48.6 sq mi,125.9 km2,"3,445/sq mi","1,330/km2",44.923700000000004,-123.0232,Salem)
