rank,city,state,estimate2019,census2010,change,land_area2016,land_area2016_2,population_density2016,population_density2016_2,lat,long,other
248,West Jordan,Utah,116480,103712,12.31,32.3 sq mi,83.7 km2,"3,520/sq mi","1,360/km2",40.6024,-112.0008,West Jordan)
249,Murrieta,California,116223,103466,12.33,33.6 sq mi,87.0 km2,"3,324/sq mi","1,283/km2",33.572100000000006,-117.1904,Murrieta)
250,Palm Bay,Florida,115552,103190,11.98,65.7 sq mi,170.2 km2,"1,676/sq mi",647/km2,27.985599999999994,-80.6626,Palm Bay)
251,El Monte,California,115487,113475,1.77,9.6 sq mi,24.9 km2,"12,063/sq mi","4,658/km2",34.0746,-118.0291,El Monte)
252,Carlsbad,California,115382,105328,9.55,37.7 sq mi,97.6 km2,"3,023/sq mi","1,167/km2",33.123900000000006,-117.2828,Carlsbad)
252,North Charleston,South Carolina,115382,97471,18.38,73.7 sq mi,190.9 km2,"1,483/sq mi",573/km2,32.91779999999999,-80.065,North Charleston)
254,Temecula,California,114761,100097,14.65,37.3 sq mi,96.6 km2,"3,031/sq mi","1,170/km2",33.493100000000005,-117.1317,Temecula)
255,Clovis,California,114584,95631,19.82,24.2 sq mi,62.7 km2,"4,404/sq mi","1,700/km2",36.8282,-119.6849,Clovis)
256,Springfield,Illinois,114230,116250,1.74,60.1 sq mi,155.7 km2,"1,925/sq mi",743/km2,39.79110000000001,-89.64460000000001,Springfield)
257,Meridian,Idaho,114161,75092,52.03,29.8 sq mi,77.2 km2,"3,584/sq mi","1,384/km2",43.6142,-116.3989,Meridian)
258,Westminster,Colorado,113166,106114,6.6499999999999995,31.7 sq mi,82.1 km2,"3,592/sq mi","1,387/km2",39.8822,-105.0644,Westminster)
259,Costa Mesa,California,113003,109960,2.77,15.7 sq mi,40.7 km2,"7,186/sq mi","2,775/km2",33.66590000000001,-117.9123,Costa Mesa)
260,High Point,North Carolina,112791,104371,8.07,55.2 sq mi,143.0 km2,"2,015/sq mi",778/km2,35.99,-79.99050000000001,High Point)
261,Manchester,New Hampshire,112673,109565,2.84,33.1 sq mi,85.7 km2,"3,339/sq mi","1,289/km2",42.984899999999996,-71.44410000000002,Manchester)
262,Pueblo,Colorado,112361,106595,5.41,53.6 sq mi,138.8 km2,"2,058/sq mi",795/km2,38.26990000000001,-104.61229999999999,Pueblo)
263,Lakeland,Florida,112136,97422,15.1,65.9 sq mi,170.7 km2,"1,615/sq mi",624/km2,28.0555,-81.95490000000001,Lakeland)
264,Pompano Beach,Florida,112118,99845,12.29,24.0 sq mi,62.2 km2,"4,558/sq mi","1,760/km2",26.2416,-80.1339,Pompano Beach)
265,West Palm Beach,Florida,111955,99919,12.05,55.1 sq mi,142.7 km2,"1,963/sq mi",758/km2,26.746399999999998,-80.12509999999999,West Palm Beach)
266,Antioch,California,111502,102372,8.92,29.4 sq mi,76.1 km2,"3,772/sq mi","1,456/km2",37.9791,-121.79620000000001,Antioch)
267,Everett,Washington,111475,103019,8.209999999999999,33.3 sq mi,86.2 km2,"3,275/sq mi","1,264/km2",47.956599999999995,-122.1914,Everett)
268,Downey,California,111126,111772,0.58,12.4 sq mi,32.1 km2,"9,134/sq mi","3,527/km2",33.9382,-118.1309,Downey)
269,Lowell,Massachusetts,110997,106519,4.2,13.6 sq mi,35.2 km2,"8,129/sq mi","3,139/km2",42.639,-71.3211,Lowell)
270,Centennial,Colorado,110937,100377,10.52,29.5 sq mi,76.4 km2,"3,727/sq mi","1,439/km2",39.5906,-104.8691,Centennial)
271,Elgin,Illinois,110849,108188,2.46,37.4 sq mi,96.9 km2,"2,998/sq mi","1,158/km2",42.0396,-88.32169999999999,Elgin)
272,Richmond,California,110567,103701,6.619999999999999,30.1 sq mi,78.0 km2,"3,648/sq mi","1,409/km2",37.9523,-122.3606,Richmond)
273,Peoria,Illinois,110417,115007,3.9899999999999998,48.2 sq mi,124.8 km2,"2,371/sq mi",915/km2,40.7515,-89.6174,Peoria)
274,Broken Arrow,Oklahoma,110198,98850,11.48,61.7 sq mi,159.8 km2,"1,741/sq mi",672/km2,36.036500000000004,-95.781,Broken Arrow)
275,Miami Gardens,Florida,110001,107167,2.64,18.2 sq mi,47.1 km2,"6,212/sq mi","2,398/km2",25.9489,-80.24360000000001,Miami Gardens)
276,Billings,Montana,109577,104170,5.1899999999999995,43.7 sq mi,113.2 km2,"2,525/sq mi",975/km2,45.788500000000006,-108.54990000000001,Billings)
278,Sandy Springs,Georgia,109452,93853,16.62,37.7 sq mi,97.6 km2,"2,804/sq mi","1,083/km2",33.9315,-84.36869999999999,Sandy Springs)
279,Gresham,Oregon,109381,105594,3.59,23.3 sq mi,60.3 km2,"4,786/sq mi","1,848/km2",45.502300000000005,-122.44160000000002,Gresham)
280,Lewisville,Texas,109212,95290,14.61,36.7 sq mi,95.1 km2,"2,852/sq mi","1,101/km2",33.0466,-96.9818,Lewisville)
281,Hillsboro,Oregon,109128,91611,19.12,25.0 sq mi,64.7 km2,"4,207/sq mi","1,624/km2",45.528000000000006,-122.9357,Hillsboro)
282,Ventura[ab],California,109106,106433,2.51,21.8 sq mi,56.5 km2,"5,027/sq mi","1,941/km2",34.2678,-119.25420000000001,Ventura)
283,Greeley,Colorado,108649,92889,16.97,47.8 sq mi,123.8 km2,"2,176/sq mi",840/km2,40.4153,-104.7697,Greeley)
284,Inglewood,California,108151,109673,1.3900000000000001,9.1 sq mi,23.6 km2,"12,160/sq mi","4,700/km2",33.9561,-118.3443,Inglewood)
285,Waterbury,Connecticut,107568,110366,2.54,28.5 sq mi,73.8 km2,"3,799/sq mi","1,467/km2",41.5585,-73.0367,Waterbury)
286,League City,Texas,107536,83560,28.69,51.2 sq mi,132.6 km2,"1,992/sq mi",769/km2,29.490099999999998,-95.1091,League City)
287,Santa Maria,California,107263,99553,7.74,22.8 sq mi,59.1 km2,"4,662/sq mi","1,800/km2",34.9332,-120.44380000000001,Santa Maria)
288,Tyler,Texas,106985,96900,10.41,56.6 sq mi,146.6 km2,"1,852/sq mi",715/km2,32.317299999999996,-95.3059,Tyler)
289,Davie[ac],Florida,106306,91992,15.56,34.9 sq mi,90.4 km2,"2,919/sq mi","1,127/km2",26.0791,-80.285,Davie)
290,Lakewood[ad],New Jersey,106300,92843,14.49,24.7 sq mi,64.0 km2,"4,079/sq mi","1,575/km2",40.0771,-74.2004,Lakewood)
291,Daly City,California,106280,101123,5.1,7.6 sq mi,19.7 km2,"14,009/sq mi","5,409/km2",37.700900000000004,-122.465,Daly City)
292,Boulder,Colorado,105673,97385,8.51,24.8 sq mi,64.2 km2,"4,358/sq mi","1,683/km2",40.027,-105.2519,Boulder)
293,Allen,Texas,105623,84246,25.37,27.1 sq mi,70.2 km2,"3,715/sq mi","1,434/km2",33.099700000000006,-96.6631,Allen)
294,West Covina,California,105101,106098,0.9400000000000001,16.0 sq mi,41.4 km2,"6,740/sq mi","2,600/km2",34.0559,-117.90990000000001,West Covina)
295,Sparks,Nevada,105006,90264,16.330000000000002,35.9 sq mi,93.0 km2,"2,810/sq mi","1,080/km2",39.554399999999994,-119.7356,Sparks)
296,Wichita Falls,Texas,104683,104553,0.12000000000000001,72.2 sq mi,187.0 km2,"1,450/sq mi",560/km2,33.9067,-98.5259,Wichita Falls)
297,Green Bay,Wisconsin,104578,104057,0.5,45.4 sq mi,117.6 km2,"2,316/sq mi",894/km2,44.520700000000005,-87.98420000000002,Green Bay)
298,San Mateo,California,104430,97207,7.430000000000001,12.1 sq mi,31.3 km2,"8,592/sq mi","3,317/km2",37.560300000000005,-122.31060000000001,San Mateo)
299,Norwalk,California,103949,105549,1.52,9.7 sq mi,25.1 km2,"10,946/sq mi","4,226/km2",33.907599999999995,-118.0835,Norwalk)
300,Rialto,California,103526,99171,4.39,22.3 sq mi,57.8 km2,"4,633/sq mi","1,789/km2",34.111799999999995,-117.38829999999999,Rialto)
301,Las Cruces,New Mexico,103432,97618,5.96,76.9 sq mi,199.2 km2,"1,323/sq mi",511/km2,32.3264,-106.7897,Las Cruces)
302,Chico,California,103301,86187,19.86,33.3 sq mi,86.2 km2,"3,102/sq mi","1,198/km2",39.74,-121.8356,Chico)
303,El Cajon,California,102708,99478,3.25,14.5 sq mi,37.6 km2,"7,156/sq mi","2,763/km2",32.8017,-116.9604,El Cajon)
304,Burbank,California,102511,103340,0.8,17.4 sq mi,45.1 km2,"6,003/sq mi","2,318/km2",34.19010000000001,-118.32639999999999,Burbank)
305,South Bend,Indiana,102026,101168,0.8500000000000001,41.4 sq mi,107.2 km2,"2,457/sq mi",949/km2,41.6769,-86.269,South Bend)
306,Renton,Washington,101751,90927,11.9,23.4 sq mi,60.6 km2,"4,314/sq mi","1,666/km2",47.4761,-122.192,Renton)
307,Vista,California,101638,93834,8.32,18.7 sq mi,48.4 km2,"5,436/sq mi","2,099/km2",33.1895,-117.2386,Vista)
308,Davenport,Iowa,101590,99685,1.91,62.9 sq mi,162.9 km2,"1,631/sq mi",630/km2,41.5541,-90.604,Davenport)
309,Edinburg,Texas,101170,77100,31.22,37.6 sq mi,97.4 km2,"2,691/sq mi","1,039/km2",26.3042,-98.1639,Edinburg)
310,Tuscaloosa,Alabama,101129,90468,11.78,71.7 sq mi,185.7 km2,"1,399/sq mi",540/km2,33.206500000000005,-87.53460000000001,Tuscaloosa)
311,Carmel,Indiana,101068,79191,27.630000000000003,47.5 sq mi,123.0 km2,"2,128/sq mi",822/km2,39.9667,-86.1,Carmel)
312,Spokane Valley,Washington,101060,89755,12.6,37.7 sq mi,97.6 km2,"2,681/sq mi","1,035/km2",47.673300000000005,-117.2394,Spokane Valley)
313,San Angelo,Texas,101004,93200,8.370000000000001,59.9 sq mi,155.1 km2,"1,681/sq mi",649/km2,31.4411,-100.4505,San Angelo)
314,Vacaville,California,100670,92428,8.92,29.0 sq mi,75.1 km2,"3,449/sq mi","1,332/km2",38.353899999999996,-121.97279999999999,Vacaville)
315,Clinton[ae],Michigan,100471,96796,3.8,28.1 sq mi,72.8 km2,"3,573/sq mi","1,380/km2",42.590300000000006,-82.91700000000002,Clinton)
316,Bend,Oregon,100421,76639,31.03,33.1 sq mi,85.7 km2,"3,034/sq mi","1,171/km2",44.05,-121.3,Bend)
317,Woodbridge[ad],New Jersey,100145,99585,0.56,23.3 sq mi,60.3 km2,"4,351/sq mi","1,680/km2",40.560700000000004,-74.2927,Woodbridge)
